,class,label,count,persent
0,3,0,134,2.2333333333333334
1,3,1,273,4.55
2,3,2,86,1.4333333333333333
3,3,3,275,4.583333333333333
4,3,4,242,4.033333333333333
5,3,5,183,3.05
6,3,6,217,3.6166666666666667
7,3,7,243,4.05
8,3,8,190,3.1666666666666665
9,3,9,294,4.9
10,3,10,270,4.5
11,3,11,145,2.4166666666666665
12,3,12,201,3.35
13,3,13,195,3.25
14,3,14,363,6.05
15,3,15,209,3.4833333333333334
16,3,16,148,2.466666666666667
17,3,17,257,4.283333333333333
18,3,18,265,4.416666666666667
19,3,19,284,4.733333333333333
20,3,20,172,2.8666666666666667
21,3,21,223,3.716666666666667
22,3,22,439,7.316666666666666
23,3,23,306,5.1
24,3,24,208,3.466666666666667
25,3,25,178,2.966666666666667
