,class,label,index
0,9,0,0
1,9,0,1034
2,9,0,1370
3,9,0,1616
4,9,0,1911
5,9,0,2609
6,9,0,2982
7,9,0,3449
8,9,0,3460
9,9,0,3537
10,9,0,4008
11,9,0,4562
12,9,0,4656
13,9,0,4852
14,9,0,5986
15,9,0,7703
16,9,0,7951
17,9,0,7983
18,9,0,8293
19,9,0,8425
20,9,0,8549
21,9,0,9617
22,9,0,9698
23,9,0,9936
24,9,0,10180
25,9,0,10526
26,9,0,10964
27,9,0,11238
28,9,0,11400
29,9,0,11445
30,9,0,11920
31,9,0,12077
32,9,0,12215
33,9,0,12509
34,9,0,12571
35,9,0,13068
36,9,0,13585
37,9,0,13657
38,9,0,13841
39,9,0,14569
40,9,0,14887
41,9,0,15517
42,9,0,15729
43,9,0,15807
44,9,0,16759
45,9,0,17258
46,9,0,17964
47,9,0,18023
48,9,0,18078
49,9,0,18247
50,9,0,18819
51,9,0,19411
52,9,0,19619
53,9,0,19633
54,9,0,20026
55,9,0,20281
56,9,0,20327
57,9,0,20525
58,9,0,21184
59,9,0,21547
60,9,0,21905
61,9,0,22152
62,9,0,22171
63,9,0,22838
64,9,0,23927
65,9,0,24137
66,9,0,25008
67,9,0,25109
68,9,0,25182
69,9,0,25275
70,9,0,25301
71,9,0,25719
72,9,0,25746
73,9,0,25927
74,9,0,27404
75,9,0,28231
76,9,0,28890
77,9,0,28962
78,9,0,29262
79,9,0,29263
80,9,0,29735
81,9,0,29905
82,9,0,30169
83,9,0,31054
84,9,0,31466
85,9,0,32042
86,9,0,32299
87,9,0,33696
88,9,0,33968
89,9,0,34166
90,9,0,34532
91,9,0,34681
92,9,0,34788
93,9,0,35094
94,9,0,35220
95,9,0,35226
96,9,0,35231
97,9,0,35236
98,9,0,35683
99,9,0,36517
100,9,0,36905
101,9,0,37186
102,9,0,38012
103,9,0,38246
104,9,0,38300
105,9,0,38624
106,9,0,39024
107,9,0,39238
108,9,0,39427
109,9,0,40887
110,9,0,41140
111,9,0,41901
112,9,0,42225
113,9,0,42457
114,9,0,42714
115,9,0,43678
116,9,0,44530
117,9,0,45399
118,9,0,45561
119,9,0,45567
120,9,0,45966
121,9,0,46083
122,9,0,46136
123,9,0,46251
124,9,0,46381
125,9,0,47722
126,9,0,48613
127,9,0,49206
128,9,0,49523
129,9,0,49823
130,9,0,49881
131,9,0,49961
132,9,0,50051
133,9,0,50522
134,9,0,50566
135,9,0,50815
136,9,0,50912
137,9,0,51565
138,9,0,52934
139,9,0,53632
140,9,0,53676
141,9,0,54136
142,9,0,54707
143,9,0,54827
144,9,0,55310
145,9,0,55568
146,9,0,55767
147,9,0,56924
148,9,0,57174
149,9,0,57361
150,9,0,57531
151,9,0,57783
152,9,0,58256
153,9,0,58332
154,9,0,58629
155,9,0,58633
156,9,0,59678
157,9,1,89
158,9,1,539
159,9,1,719
160,9,1,884
161,9,1,1040
162,9,1,1079
163,9,1,1417
164,9,1,2038
165,9,1,2046
166,9,1,2282
167,9,1,2288
168,9,1,2302
169,9,1,2435
170,9,1,2527
171,9,1,2546
172,9,1,2688
173,9,1,2897
174,9,1,2979
175,9,1,3003
176,9,1,3321
177,9,1,3352
178,9,1,3498
179,9,1,3506
180,9,1,3623
181,9,1,3676
182,9,1,3760
183,9,1,3979
184,9,1,3997
185,9,1,4182
186,9,1,4187
187,9,1,4373
188,9,1,4533
189,9,1,4542
190,9,1,4746
191,9,1,4854
192,9,1,4900
193,9,1,5466
194,9,1,5811
195,9,1,6104
196,9,1,6176
197,9,1,6422
198,9,1,6528
199,9,1,6708
200,9,1,6740
201,9,1,6842
202,9,1,7068
203,9,1,7156
204,9,1,7581
205,9,1,7682
206,9,1,7695
207,9,1,8099
208,9,1,8651
209,9,1,8690
210,9,1,8721
211,9,1,8783
212,9,1,8944
213,9,1,9124
214,9,1,9145
215,9,1,9292
216,9,1,9458
217,9,1,9482
218,9,1,9701
219,9,1,9760
220,9,1,9992
221,9,1,10135
222,9,1,10237
223,9,1,10352
224,9,1,10577
225,9,1,10644
226,9,1,10840
227,9,1,10872
228,9,1,10918
229,9,1,11056
230,9,1,11193
231,9,1,11320
232,9,1,11487
233,9,1,11827
234,9,1,11921
235,9,1,12031
236,9,1,12326
237,9,1,12409
238,9,1,12711
239,9,1,12712
240,9,1,12784
241,9,1,12897
242,9,1,13056
243,9,1,13180
244,9,1,13201
245,9,1,13315
246,9,1,13338
247,9,1,13665
248,9,1,13667
249,9,1,13733
250,9,1,14014
251,9,1,14047
252,9,1,14159
253,9,1,14605
254,9,1,14650
255,9,1,14672
256,9,1,15056
257,9,1,15195
258,9,1,15289
259,9,1,15398
260,9,1,15522
261,9,1,15524
262,9,1,15589
263,9,1,15648
264,9,1,15726
265,9,1,16200
266,9,1,16474
267,9,1,16575
268,9,1,16697
269,9,1,16838
270,9,1,17036
271,9,1,17092
272,9,1,17147
273,9,1,17178
274,9,1,17425
275,9,1,17520
276,9,1,17580
277,9,1,17928
278,9,1,18173
279,9,1,18657
280,9,1,19094
281,9,1,19147
282,9,1,19318
283,9,1,19477
284,9,1,19489
285,9,1,19541
286,9,1,19555
287,9,1,19557
288,9,1,19722
289,9,1,20072
290,9,1,20148
291,9,1,20248
292,9,1,20354
293,9,1,20373
294,9,1,20578
295,9,1,20673
296,9,1,20762
297,9,1,21223
298,9,1,21318
299,9,1,21342
300,9,1,21346
301,9,1,21567
302,9,1,21627
303,9,1,21854
304,9,1,22201
305,9,1,22260
306,9,1,22637
307,9,1,22972
308,9,1,23091
309,9,1,23432
310,9,1,23641
311,9,1,23744
312,9,1,23821
313,9,1,24083
314,9,1,24181
315,9,1,24349
316,9,1,24470
317,9,1,24622
318,9,1,24682
319,9,1,24793
320,9,1,24797
321,9,1,24828
322,9,1,24878
323,9,1,25143
324,9,1,25151
325,9,1,25256
326,9,1,25366
327,9,1,25507
328,9,1,25799
329,9,1,25826
330,9,1,25931
331,9,1,26076
332,9,1,26131
333,9,1,26184
334,9,1,26186
335,9,1,26337
336,9,1,26396
337,9,1,26666
338,9,1,26773
339,9,1,26923
340,9,1,27155
341,9,1,27271
342,9,1,27458
343,9,1,27524
344,9,1,27792
345,9,1,27808
346,9,1,28236
347,9,1,28359
348,9,1,28704
349,9,1,28830
350,9,1,29004
351,9,1,29132
352,9,1,29151
353,9,1,29175
354,9,1,29258
355,9,1,29362
356,9,1,29593
357,9,1,29605
358,9,1,29889
359,9,1,29987
360,9,1,30034
361,9,1,30159
362,9,1,30234
363,9,1,30263
364,9,1,30289
365,9,1,30521
366,9,1,30791
367,9,1,30884
368,9,1,31043
369,9,1,31143
370,9,1,31481
371,9,1,31561
372,9,1,31655
373,9,1,31805
374,9,1,31920
375,9,1,32215
376,9,1,32305
377,9,1,32385
378,9,1,32403
379,9,1,32586
380,9,1,32652
381,9,1,33418
382,9,1,33522
383,9,1,33684
384,9,1,33742
385,9,1,34017
386,9,1,34047
387,9,1,34061
388,9,1,34357
389,9,1,34748
390,9,1,34755
391,9,1,35046
392,9,1,35153
393,9,1,35182
394,9,1,35229
395,9,1,35276
396,9,1,35291
397,9,1,35439
398,9,1,35511
399,9,1,35693
400,9,1,35786
401,9,1,35810
402,9,1,35860
403,9,1,35924
404,9,1,36064
405,9,1,36126
406,9,1,36205
407,9,1,36236
408,9,1,36370
409,9,1,36686
410,9,1,36923
411,9,1,36968
412,9,1,37128
413,9,1,37404
414,9,1,37423
415,9,1,37674
416,9,1,37827
417,9,1,37967
418,9,1,38459
419,9,1,38517
420,9,1,38546
421,9,1,38549
422,9,1,38630
423,9,1,39076
424,9,1,39617
425,9,1,39866
426,9,1,39912
427,9,1,40262
428,9,1,40567
429,9,1,40869
430,9,1,40893
431,9,1,41169
432,9,1,41186
433,9,1,41219
434,9,1,41377
435,9,1,41638
436,9,1,41670
437,9,1,41757
438,9,1,41865
439,9,1,41998
440,9,1,42000
441,9,1,42148
442,9,1,42462
443,9,1,42676
444,9,1,42730
445,9,1,42749
446,9,1,42774
447,9,1,42778
448,9,1,42804
449,9,1,42964
450,9,1,43251
451,9,1,43283
452,9,1,43368
453,9,1,43917
454,9,1,44313
455,9,1,44337
456,9,1,44343
457,9,1,44465
458,9,1,44622
459,9,1,44830
460,9,1,45316
461,9,1,45361
462,9,1,45411
463,9,1,45657
464,9,1,45757
465,9,1,45976
466,9,1,46015
467,9,1,46150
468,9,1,46417
469,9,1,46483
470,9,1,46536
471,9,1,46790
472,9,1,47082
473,9,1,47094
474,9,1,47445
475,9,1,47869
476,9,1,47913
477,9,1,48181
478,9,1,48298
479,9,1,48304
480,9,1,48808
481,9,1,48940
482,9,1,48963
483,9,1,49449
484,9,1,49622
485,9,1,49671
486,9,1,49755
487,9,1,49938
488,9,1,50142
489,9,1,50665
490,9,1,50886
491,9,1,51091
492,9,1,51199
493,9,1,51447
494,9,1,51482
495,9,1,51733
496,9,1,51764
497,9,1,51785
498,9,1,52034
499,9,1,52090
500,9,1,52610
501,9,1,52720
502,9,1,52732
503,9,1,53045
504,9,1,53333
505,9,1,53393
506,9,1,53552
507,9,1,53595
508,9,1,53787
509,9,1,54264
510,9,1,54385
511,9,1,54429
512,9,1,54433
513,9,1,54458
514,9,1,54745
515,9,1,55071
516,9,1,55130
517,9,1,55199
518,9,1,55339
519,9,1,55555
