Vue.js	2.6.10	MIT	2013	Yuxi (Evan) You	https://github.com/vuejs/vue#license
axios	0.19.0	MIT	2014	Matt Zabriskie	https://github.com/axios/axios#license
babel-eslint	10.0.3	MIT	2014	Sebastian McKenzie	https://github.com/babel/babel-eslint/blob/master/LICENSE
eslint	5.16.0	MIT	2013	JS Foundation and other contributors	https://github.com/eslint/eslint/blob/master/LICENSE
eslint-plugin-vue	5.0.0	MIT	2017	Toru Nagashima	https://github.com/vuejs/eslint-plugin-vue/blob/master/LICENSE
Python	3.6.8	PSF_PYTHON3.6.8	2001	Python Software Foundation	https://docs.python.org/3/license.html
Flask	1.1.1	BSD-3-Clause	2010	Pallets	https://flask.palletsprojects.com/en/1.1.x/license/
Flask-REST	1.3	BSD-3-Clause	2011	Alexis Métaireau and contributors	https://github.com/almet/flask-rest/blob/master/LICENSE
Flask-RESTful	0.3.7	BSD-3-Clause	2013	"Twilio, Inc."	https://github.com/flask-restful/flask-restful/blob/master/LICENSE
Flask-Script	2.0.6	BSD-3-Clause	2010 Dan Jacob 2014 Matthias Urlichs		https://github.com/smurfix/flask-script/blob/master/LICENSE
Flask-SQLAlchemy	2.4.1	BSD-3-Clause	2010	Pallets	https://github.com/pallets/flask-sqlalchemy/blob/master/LICENSE.rst
Flask-JWT	0.3.2	MIT	2014	Matthew Wright	https://github.com/mattupstate/flask-jwt/blob/master/LICENSE
flask-mongoengine	0.9.5	BSD-3-Clause	2010	See AUTHORS	https://github.com/MongoEngine/flask-mongoengine/blob/master/LICENSE
flask-marshmallow	0.10.1	MIT	2014	Steven Loria and contributors	https://github.com/marshmallow-code/flask-marshmallow/blob/dev/LICENSE
Flask-Injector	0.12.3	BSD-3-Clause	2012	Alec Thomas 2015 Smarkets Limited	https://github.com/alecthomas/flask_injector/blob/master/COPYING
marshmallow	3.3.0	MIT	2020	Steven Loria and contributors	https://github.com/marshmallow-code/marshmallow/blob/dev/LICENSE
SQLAlchemy	1.3.11	MIT	2005	SQLAlchemy authors and contributors <see AUTHORS file>.	https://github.com/sqlalchemy/sqlalchemy/blob/master/LICENSE
SQLAlchemy	1.3.15	MIT	2005	SQLAlchemy authors and contributors <see AUTHORS file>.	https://github.com/sqlalchemy/sqlalchemy/blob/master/LICENSE
marshmallow-sqlalchemy	0.21.0	MIT	2015	Steven Loria and contributors	https://github.com/marshmallow-code/marshmallow-sqlalchemy/blob/dev/LICENSE
pymongo	3.10.0	Apache_License_2.0	2009	Mike Dirolf	https://github.com/mongodb/mongo-python-driver/blob/master/LICENSE
passlib	1.7.2	BSD-3-Clause	2008	"Assurance Technologies, LLC."	https://foss.heptapod.net/python-libs/passlib/blob/branch/stable/LICENSE
psycopg2	2.8.4	original_psycopg2	2010	"Daniele Varrazzo, The Psycopg Team."	https://github.com/psycopg/psycopg2/blob/master/LICENSE
